Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily
31/12/2015,19:00:00,12.6,1.6,124,935.3,0,0
31/12/2015,20:00:00,12.2,1.1,143,935.1,0,0
31/12/2015,21:00:00,11.7,0.9,193,934.9,0,0
31/12/2015,22:00:00,10.7,0.9,254,934.5,0,0
31/12/2015,23:00:00,10.9,0.7,205,934.4,0,0
01/01/2016,0:00:00,11.2,3,291,934.5,0,0
01/01/2016,1:00:00,10.3,2.6,296,935.1,0,0
01/01/2016,2:00:00,9.8,1.4,280,935.8,0,0
01/01/2016,3:00:00,11.3,1.1,291,936.2,0,0
01/01/2016,4:00:00,10.5,2.1,289,937.1,3,0
01/01/2016,5:00:00,10.9,1.7,294,937.3,5,0
01/01/2016,6:00:00,13.9,1,254,937,5,0
01/01/2016,7:00:00,10.9,1.2,297,936.3,28,0
01/01/2016,8:00:00,12.3,1,166,935.8,30,0
01/01/2016,9:00:00,11.7,2.2,250,935.4,32,0
01/01/2016,10:00:00,9.4,1.5,329,935.5,38,0
01/01/2016,11:00:00,8.8,1.1,261,935.6,46,0
01/01/2016,12:00:00,9,3,292,935.5,10,0
01/01/2016,13:00:00,8.1,2.7,264,935.9,20,0
01/01/2016,14:00:00,7.5,2.5,63,936.3,31,0
01/01/2016,15:00:00,8.3,0.6,205,936.7,9,0
01/01/2016,16:00:00,9.5,0.8,153,936.9,0,0
01/01/2016,17:00:00,8.8,1.9,278,937.3,2,0
01/01/2016,18:00:00,7.5,1.3,84,937.1,9,0
01/01/2016,19:00:00,8.2,2.5,73,936.7,4,0
01/01/2016,20:00:00,8.3,0.3,288,936.4,3,0
01/01/2016,21:00:00,7.4,1.6,48,935.9,10,0
01/01/2016,22:00:00,8,1.8,275,935.8,3,0
01/01/2016,23:00:00,7.4,1.7,281,935.5,8,0
02/01/2016,0:00:00,7.1,0.9,247,935.5,10,0
02/01/2016,1:00:00,7.4,2.2,298,935.7,6,0
02/01/2016,2:00:00,7.6,1.2,297,936.1,2,0
02/01/2016,3:00:00,11,0.5,260,936.7,2,0
02/01/2016,4:00:00,11.9,0.7,167,937.2,11,0
02/01/2016,5:00:00,12.3,0.5,239,937.3,12,0
02/01/2016,6:00:00,13.3,1.4,179,936.7,19,0
02/01/2016,7:00:00,12.1,0.6,194,935.9,26,0
02/01/2016,8:00:00,12,1.3,263,935.1,28,0
02/01/2016,9:00:00,13.4,1.7,251,934.3,24,0
02/01/2016,10:00:00,12.6,1.5,241,933.9,28,0
02/01/2016,11:00:00,9.8,1.2,294,933.7,37,0
02/01/2016,12:00:00,8.3,1.1,212,934.2,42,0
02/01/2016,13:00:00,7.5,1.8,295,934.3,44,0
02/01/2016,14:00:00,9.2,3.1,303,934.7,5,0
02/01/2016,15:00:00,9.6,3,298,935,2,0
02/01/2016,16:00:00,8.7,1.7,329,935,0,0
02/01/2016,17:00:00,8.9,1.4,140,934.9,8,0
02/01/2016,18:00:00,9,0.7,255,934.6,0,0
02/01/2016,19:00:00,8.9,1.1,285,934.2,3,0
02/01/2016,20:00:00,9.5,1.5,49,933.9,4,0
02/01/2016,21:00:00,8.7,1,294,933.5,2,0
02/01/2016,22:00:00,8.7,0.9,234,933.1,3,0
02/01/2016,23:00:00,8.1,1.9,300,932.7,3,0
03/01/2016,0:00:00,8.1,1.4,239,932.6,0,0
03/01/2016,1:00:00,7.5,1.9,64,932.8,17,0
03/01/2016,2:00:00,7.4,2.9,56,933,14,0
03/01/2016,3:00:00,9.9,1.2,142,933.7,15,0
03/01/2016,4:00:00,10.5,1.6,104,934.4,21,0
03/01/2016,5:00:00,11.9,1.5,120,934.6,14,0
03/01/2016,6:00:00,11.8,1.2,132,934.1,16,0
03/01/2016,7:00:00,12.4,0.5,199,933.2,18,0
03/01/2016,8:00:00,12.4,0.9,192,932.5,25,0
03/01/2016,9:00:00,12.7,0.8,169,931.9,29,0
03/01/2016,10:00:00,11.6,0.9,277,931.8,33,0
03/01/2016,11:00:00,10.6,1.1,256,932,36,0
03/01/2016,12:00:00,7.6,1.6,213,932.3,33,0
03/01/2016,13:00:00,7.2,1.8,240,933.1,27,0
03/01/2016,14:00:00,7.4,2.5,125,933.5,30,0
03/01/2016,15:00:00,7.1,2.9,58,933.8,34,0
03/01/2016,16:00:00,7.3,3.3,106,933.9,26,0
03/01/2016,17:00:00,7.5,2.7,108,934.3,13,0
03/01/2016,18:00:00,7,4.9,100,934.1,19,0
03/01/2016,19:00:00,7.2,4.2,89,933.8,13,0
03/01/2016,20:00:00,7.7,4.3,76,933.4,8,0
03/01/2016,21:00:00,7.4,4.1,121,933.5,25,0
03/01/2016,22:00:00,7.4,2.1,97,933.3,24,0
03/01/2016,23:00:00,6.9,3.5,86,932.9,31,0
04/01/2016,0:00:00,8.4,0.7,85,933.2,14,0
04/01/2016,1:00:00,6.8,1.2,161,934,22,0
04/01/2016,2:00:00,6.6,4.1,112,934.8,21,0
04/01/2016,3:00:00,8.9,2.8,91,935.8,18,0
04/01/2016,4:00:00,11.2,3.8,110,936.5,15,0
04/01/2016,5:00:00,13.2,1.2,158,936.7,10,0
04/01/2016,6:00:00,13.9,1,177,936.2,13,0
04/01/2016,7:00:00,11.7,2.4,137,935.2,21,0
04/01/2016,8:00:00,13.9,1.3,198,934.4,20,0
04/01/2016,9:00:00,13.5,1,201,934.1,24,0
04/01/2016,10:00:00,11,1.2,237,934,34,0
04/01/2016,11:00:00,8.5,0.5,157,934.1,41,0
04/01/2016,12:00:00,7.1,3.6,69,933.9,37,0
04/01/2016,13:00:00,7,3,85,934.6,41,0
04/01/2016,14:00:00,7,3.2,91,935.3,28,0
04/01/2016,15:00:00,7.4,1.5,75,936.3,23,0
04/01/2016,16:00:00,7.3,2.5,66,936,30,0
04/01/2016,17:00:00,7.9,1.6,90,936.2,35,0
04/01/2016,18:00:00,8.3,1.2,308,936.3,32,0
04/01/2016,19:00:00,9.1,1.7,240,935.4,10,0
04/01/2016,20:00:00,7.7,3,274,935.1,32,0
04/01/2016,21:00:00,8.1,3.7,275,934.7,22,0
04/01/2016,22:00:00,8.2,5.4,301,933.8,16,0
04/01/2016,23:00:00,9.4,6.5,303,933.1,13,0
05/01/2016,0:00:00,9.8,3.5,278,933.1,11,0
05/01/2016,1:00:00,9.2,4.4,294,933.7,12,0
