Date,Time,Temp,WS,WD,Pressure,Humidity,Rain Daily,Rain Hourly
31-12-2021,19:00:00,7.3,0.9,236,811.8,72,0,0
31-12-2021,19:15:00,7.3,0.8,216,811.8,70,0,0
31-12-2021,19:30:00,7.1,0.6,293,811.6,71,0,0
31-12-2021,19:45:00,7.2,1,277,811.6,70,0,0
31-12-2021,20:00:00,7,1,331,811.6,73,0,0
31-12-2021,20:15:00,6.9,0.7,289,811.5,73,0,0
31-12-2021,20:30:00,6.9,0.7,249,811.4,72,0,0
31-12-2021,20:45:00,6.7,1.3,326,811.2,74,0,0
31-12-2021,21:00:00,6.6,1.4,311,811.1,72,0,0
31-12-2021,21:15:00,6.8,0.7,198,811.1,61,0,0
31-12-2021,21:30:00,7.2,0.5,255,811.1,57,0,0
31-12-2021,21:45:00,7.2,0.7,205,810.9,58,0,0
31-12-2021,22:00:00,6.9,1.2,192,810.9,62,0,0
31-12-2021,22:15:00,6.6,1,220,810.7,61,0,0
31-12-2021,22:30:00,6.8,0,359,810.6,62,0,0
31-12-2021,22:45:00,6.9,0.5,178,810.5,61,0,0
31-12-2021,23:00:00,6.6,1.5,183,810.5,63,0,0
31-12-2021,23:15:00,6.6,1.7,186,810.6,68,0,0
31-12-2021,23:30:00,6.7,1.9,187,810.7,68,0,0
31-12-2021,23:45:00,6.5,1.9,189,810.7,68,0,0
01-01-2022,00:00:00,6.5,1.2,189,810.7,67,0,0
01-01-2022,00:15:00,6.7,1.2,190,810.8,58,0,0
01-01-2022,00:30:00,7.1,0.3,162,810.9,55,0,0
01-01-2022,00:45:00,6.9,0.3,162,811,56,0,0
01-01-2022,01:00:00,6.9,0.8,173,811.1,57,0,0
01-01-2022,01:15:00,7.1,0.7,176,811.2,55,0,0
01-01-2022,01:30:00,6.8,0.9,192,811.3,56,0,0
01-01-2022,01:45:00,7.1,0,359,811.3,53,0,0
01-01-2022,02:00:00,6.8,0.6,177,811.4,56,0,0
01-01-2022,02:15:00,7.3,0,359,811.5,54,0,0
01-01-2022,02:30:00,9,0.3,211,811.7,52,0,0
01-01-2022,02:45:00,9.8,0.6,182,812,52,0,0
01-01-2022,03:00:00,9.6,0.5,181,812,52,0,0
01-01-2022,03:15:00,9.8,0.4,155,812.2,52,0,0
01-01-2022,03:30:00,9.8,0.3,192,812.3,53,0,0
01-01-2022,03:45:00,10,0.4,191,812.5,56,0,0
01-01-2022,04:00:00,10.3,0.5,114,812.6,56,0,0
01-01-2022,04:15:00,10.6,0.4,180,812.7,55,0,0
01-01-2022,04:30:00,10.7,0.5,149,812.7,59,0,0
01-01-2022,04:45:00,10.9,0.3,128,812.8,58,0,0
01-01-2022,05:00:00,10.7,0.6,144,812.8,57,0,0
01-01-2022,05:15:00,10.9,0.4,178,812.7,64,0,0
01-01-2022,05:30:00,11,0.4,158,812.6,65,0,0
01-01-2022,05:45:00,11,1,67,812.5,67,0,0
01-01-2022,06:00:00,11.4,0.5,115,812.4,68,0,0
01-01-2022,06:15:00,12.2,0.9,153,812.1,68,0,0
01-01-2022,06:30:00,12,0.3,144,811.8,70,0,0
01-01-2022,06:45:00,11.5,0.5,106,811.6,74,0,0
01-01-2022,07:00:00,11.4,0.6,92,811.5,77,0,0
01-01-2022,07:15:00,11.8,0.6,172,811.3,77,0,0
01-01-2022,07:30:00,11.1,0.3,114,811.2,80,0,0
01-01-2022,07:45:00,11,0.5,129,811,80,0,0
01-01-2022,08:00:00,10,0.6,138,810.8,84,0,0
01-01-2022,08:15:00,10.6,0.7,209,810.7,84,0,0
01-01-2022,08:30:00,10.6,0,359,810.6,86,0,0
01-01-2022,08:45:00,10.9,0.5,161,810.5,84,0,0
01-01-2022,09:00:00,11.3,0.5,127,810.4,85,0,0
01-01-2022,09:15:00,10.3,0.4,121,810.3,88,0,0
01-01-2022,09:30:00,8.7,1.1,172,810.1,95,0,0
01-01-2022,09:45:00,8.2,1.2,163,810.1,99,0,0
01-01-2022,10:00:00,8,1.1,185,810.1,99,0,0
01-01-2022,10:15:00,7.9,0.6,221,810,100,0,0
01-01-2022,10:30:00,7.4,0.5,159,809.9,100,0,0
01-01-2022,10:45:00,7.3,1,161,810,100,0,0
01-01-2022,11:00:00,7,0.9,295,809.9,100,0,0
01-01-2022,11:15:00,7.1,0.9,286,810,100,0,0
01-01-2022,11:30:00,7.1,1.1,122,809.8,100,0,0
01-01-2022,11:45:00,7.5,0.6,342,809.8,97,0,0
01-01-2022,12:00:00,7.4,0.7,123,809.9,93,0,0
01-01-2022,12:15:00,7.8,0.3,119,809.9,77,0,0
01-01-2022,12:30:00,7.6,0.6,322,810.1,89,0,0
01-01-2022,12:45:00,7.7,0.8,9,810.2,81,0,0
01-01-2022,13:00:00,7.9,0.7,308,810.3,80,0,0
01-01-2022,13:15:00,7.8,0.5,176,810.5,79,0,0
01-01-2022,13:30:00,7.5,0,359,810.6,81,0,0
01-01-2022,13:45:00,7.6,0.9,60,810.8,87,0,0
01-01-2022,14:00:00,7.4,0,359,810.9,87,0,0
01-01-2022,14:15:00,7.2,0.9,326,811,90,0,0
01-01-2022,14:30:00,7.2,0.3,26,811.2,94,0,0
01-01-2022,14:45:00,7,0.5,91,811.3,95,0,0
01-01-2022,15:00:00,6.8,0.4,78,811.5,94,0,0
01-01-2022,15:15:00,6.3,0.6,201,811.5,81,0,0
01-01-2022,15:30:00,6.6,1.1,185,811.5,70,0,0
01-01-2022,15:45:00,7,1.2,160,811.6,73,0,0
01-01-2022,16:00:00,7,1.7,180,811.5,74,0,0
01-01-2022,16:15:00,6.9,1.8,184,811.5,65,0,0
01-01-2022,16:30:00,7,0.9,172,811.5,61,0,0
01-01-2022,16:45:00,6.9,1.7,179,811.6,68,0,0
01-01-2022,17:00:00,6.9,1.5,186,811.6,63,0,0
01-01-2022,17:15:00,7.2,0.5,283,811.5,48,0,0
01-01-2022,17:30:00,8.2,0.7,263,811.3,39,0,0
01-01-2022,17:45:00,8.1,1.2,277,811.3,54,0,0
01-01-2022,18:00:00,8.3,0.9,298,811.2,49,0,0
01-01-2022,18:15:00,8.6,0.3,234,811.1,39,0,0
01-01-2022,18:30:00,8.5,0.9,51,811,38,0,0
01-01-2022,18:45:00,8.3,0.6,160,811,48,0,0
01-01-2022,19:00:00,8.1,1,209,810.8,40,0,0
01-01-2022,19:15:00,8.3,1.6,314,810.6,39,0,0
01-01-2022,19:30:00,8.1,0.6,27,810.6,56,0,0
01-01-2022,19:45:00,7.8,0.5,307,810.6,51,0,0
01-01-2022,20:00:00,8.3,0.8,293,810.4,52,0,0
